country_region,continent,population,total_cases,new_cases,total_deaths,new_deaths,total_recovered,new_recovered,active_cases,serious_critical,tot_cases_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,who_region,CFR,mortality_rate_per_million,recovery_rate,active_case_ratio,growth_rate
USA,North America,331198130,5032179,0,162804,0,2576668,0,2292707,18296,15194,492,63139605,190640,Americas,3.2352585231964124,491.56074643295847,51.203822439543586,45.56091903726,0
Brazil,South America,212710692,2917562,0,98644,0,2047660,0,771258,8318,13716,464,13206188,62085,Americas,3.3810421166713853,463.7472572370739,70.18394124957756,26.435016633751058,0
India,Asia,1381344997,2025409,0,41638,0,1377384,0,606387,8944,1466,30,22149351,16035,South-EastAsia,2.0557823135969078,30.143085246936323,68.005227586132,29.938990100271106,0
Russia,Europe,145940924,871894,0,14606,0,676357,0,180931,2300,5974,100,29716907,203623,Europe,1.675203637139377,100.08159191865882,77.5733059293905,20.751490433470124,0
South Africa,Africa,59381566,538184,0,9604,0,387316,0,141264,539,9063,162,3149807,53044,Africa,1.784519792487328,161.7336935843019,71.96720824104767,26.248271966465005,0
Mexico,North America,129066160,462690,6590,50517,819,308848,4140,103325,3987,3585,391,1056915,8189,Americas,10.918109317253451,391.4039125360203,66.75052410901468,22.331366573731874,1.4242797553437507
Peru,South America,33016319,455409,0,20424,0,310337,0,124648,1426,13793,619,2493429,75521,Americas,4.484759853230832,618.6031822626865,68.14467873933103,27.37056140743815,0
Chile,South America,19132514,366671,0,9889,0,340168,0,16614,1358,19165,517,1760615,92022,Americas,2.69696812674032,516.8688234071069,92.77199451279212,4.5310373604675585,0
Colombia,South America,50936262,357710,0,11939,0,192355,0,153416,1493,7023,234,1801835,35374,Americas,3.3376198596628557,234.3909727808452,53.774006877079195,42.88837326325795,0
Spain,Europe,46756648,354530,0,28500,0,0,0,0,617,7582,610,7064329,151087,Europe,8.038811948213127,609.5389900490728,0,0,0
Iran,Asia,84097623,320117,0,17976,0,277463,0,24678,4156,3806,214,2612763,31068,EasternMediterranean,5.615446852244648,213.75158249121975,86.67549677149292,7.709056376262429,0
UK,Europe,67922029,308134,0,46413,0,0,0,0,73,4537,683,17515234,257873,Europe,15.06260263391901,683.3276432304459,0,0,0
Saudi Arabia,Asia,34865919,284226,0,3055,0,247089,0,34082,1915,8152,88,3635705,104277,EasternMediterranean,1.0748488878568463,87.62138178546219,86.93398914947964,11.991161962663515,0
Pakistan,Asia,221295851,281863,0,6035,0,256058,0,19770,809,1274,27,2058872,9304,EasternMediterranean,2.1411111071690856,27.271184582669832,90.84484306205496,7.014045830775944,0
Bangladesh,Asia,164851401,249651,0,3306,0,143824,0,102521,0,1514,20,1225124,7432,South-EastAsia,1.3242486511169593,20.05442465120451,57.61002359293573,41.0657277559473,0
Italy,Europe,60452568,249204,0,35187,0,201323,0,12694,42,4122,582,7099713,117443,Europe,14.119757307266337,582.0596405433099,80.78642397393301,5.093818718800661,0
Turkey,Asia,84428331,237265,0,5798,0,220546,0,10921,580,2810,69,5081802,60191,Europe,2.443681116051672,68.67363041915397,92.95344867553158,4.602870208416749,0
Argentina,South America,45236884,228195,0,4251,0,99852,0,124092,1150,5044,94,794544,17564,Americas,1.8628804312101492,93.97198975950687,43.75731282455794,54.37980674423191,0
Germany,Europe,83811260,215210,0,9252,0,196200,0,9758,236,2568,110,8586648,102452,Europe,4.299056735281818,110.39089497043715,91.16676734352492,4.534175921193253,0
France,Europe,65288306,195633,0,30312,0,82460,0,82861,384,2996,464,3992206,61147,Europe,15.494318443207433,464.2791620294146,42.150352956811986,42.355328599980574,0
Iraq,Asia,40306025,140603,0,5161,0,101025,0,34417,517,3488,128,1092741,27111,EasternMediterranean,3.6706186923465363,128.04537286919262,71.85124072743825,24.478140580215214,0
Philippines,Asia,109722719,119460,0,2150,0,66837,0,50473,239,1089,20,1669996,15220,WesternPacific,1.7997656119203083,19.59484799132621,55.94927172275238,42.25096266532731,0
Indonesia,Asia,273808365,118753,0,5521,0,75645,0,37587,0,434,20,1633156,5965,South-EastAsia,4.649145705792695,20.163737510356924,63.69944338248297,31.651410911724337,0
Canada,North America,37775022,118561,0,8966,0,103106,0,6489,2263,3139,237,4319172,114339,Americas,7.562351869501775,237.35260829232607,86.96451615624025,5.473131974257977,0
Qatar,Asia,2807805,112092,0,178,0,108831,0,3083,77,39922,63,511000,181993,EasternMediterranean,0.15879813010741178,63.39471580113291,97.09078257145916,2.75041929843343,0
